Grid,o1_15,o2_15,o3_15,o4_15,o5_15,o6_15,o7_15,o8_15,o1_21,o2_21,o3_21,o4_21,o5_21,o6_21,o7_21,o8_21,elevation,treecover,strmden,housden,prey_count
1746,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2052.7854,0.88818723,4.474576473,23.92000008,21
1815,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,2698.257324,0.938331068,4.100790977,3.720000029,5
1467,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3044.678467,0.785695672,4.354065418,32.36000061,130
1535,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3787.022217,0.831547856,4.510474205,0.600000024,89
1605,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4172.188477,0.542068362,3.404054165,0.639999986,19
1256,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3008.111084,0.821861684,3.661736965,9.880000114,8
638,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,1519.173218,0.973144948,3.511380196,3.75999999,1
1244,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3141.408447,0.975019872,3.916319609,3.039999962,2
1178,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,2447.496338,0.959004104,4.267251968,15.76000023,3
1449,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,1990.681396,0.930004179,4.36946106,20.95999908,0
1450,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2295.254883,0.972702563,4.403623104,4.400000095,5
980,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,NA,NA,3161.116699,0.990538299,3.820476055,0.479999989,1
1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3375.618164,0.838593662,4.273049831,7.519999981,15
976,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2038.196655,0.933671355,4.730207443,10.60000038,0
909,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,2283.634521,0.984371126,4.118908882,2.920000076,0
1390,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,3308.440674,0.81333822,3.681199312,3,4
1255,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3235.670654,0.743379951,3.682110786,8.600000381,16
1245,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,NA,2471.894287,0.977970183,3.918492556,5.320000172,4
523,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,0,NA,NA,1575.006714,0.98458463,3.137238741,2.920000076,42
522,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,0,0,NA,NA,1943.731812,0.997903645,3.875139713,0.119999997,30
787,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA,1729.378784,0.97245574,3.281320333,23.36000061,86
925,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,0,NA,NA,2951.047119,0.97396493,3.449425459,0.039999999,13
859,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA,NA,2922.96582,0.965537965,3.745610952,0,1
719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,904.6260376,0.932130396,3.573691607,26.36000061,28
585,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,NA,NA,1004.131104,0.975388408,4.545151711,0.720000029,7
722,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,NA,NA,2640.306885,0.98344779,3.698308229,0.079999998,0
320,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,NA,NA,686.4801025,0.978036523,3.216612101,3.960000038,4
455,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,NA,NA,948.2518311,0.984947026,3.402836561,5.679999828,11
453,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,NA,NA,1678.471069,0.996963263,3.485093355,0,20
